"signals","block","offset","numOnes","numZeros","total","modelPrediction","loglik","loglikTotal"
2,"kinesthetic",400,19,197,216,0.0017,-2506.46105413602,-4798.06484813699
2,"kinesthetic",100,169,46,215,0.7943,-2506.46105413602,-4798.06484813699
2,"kinesthetic",300,48,168,216,0.0353,-2506.46105413602,-4798.06484813699
2,"kinesthetic",-84,52,164,216,0.0446,-2506.46105413602,-4798.06484813699
2,"kinesthetic",200,100,115,215,0.3674,-2506.46105413602,-4798.06484813699
2,"kinesthetic",0,208,8,216,0.9069,-2506.46105413602,-4798.06484813699
2,"kinesthetic",500,12,203,215,0,-2506.46105413602,-4798.06484813699
2,"kinesthetic",-56,80,134,214,0.4823,-2506.46105413602,-4798.06484813699
2,"kinesthetic",-14,197,19,216,0.869,-2506.46105413602,-4798.06484813699
2,"kinesthetic",-70,64,152,216,0.2074,-2506.46105413602,-4798.06484813699
2,"kinesthetic",-28,155,60,215,0.8438,-2506.46105413602,-4798.06484813699
2,"kinesthetic",-42,103,112,215,0.6706,-2506.46105413602,-4798.06484813699
2,"kinesthetic",600,8,208,216,0,-2506.46105413602,-4798.06484813699
1,"visual",200,39,177,216,0.3405,-2506.46105413602,-4798.06484813699
1,"visual",-70,23,193,216,0.0732,-2506.46105413602,-4798.06484813699
1,"visual",400,6,210,216,0.0023,-2506.46105413602,-4798.06484813699
1,"visual",500,8,208,216,0,-2506.46105413602,-4798.06484813699
1,"visual",100,123,93,216,0.6786,-2506.46105413602,-4798.06484813699
1,"visual",-42,66,150,216,0.4832,-2506.46105413602,-4798.06484813699
1,"visual",600,10,206,216,0,-2506.46105413602,-4798.06484813699
1,"visual",-84,12,204,216,0.0161,-2506.46105413602,-4798.06484813699
1,"visual",-28,131,85,216,0.7064,-2506.46105413602,-4798.06484813699
1,"visual",0,205,11,216,0.834,-2506.46105413602,-4798.06484813699
1,"visual",300,15,201,216,0.0287,-2506.46105413602,-4798.06484813699
1,"visual",-14,180,36,216,0.7993,-2506.46105413602,-4798.06484813699
1,"visual",-56,37,179,216,0.2991,-2506.46105413602,-4798.06484813699
3,"kinesVibro",400,7,107,114,0.0011,-2291.60379400097,-4798.06484813699
3,"kinesVibro",100,86,28,114,0.8336,-2291.60379400097,-4798.06484813699
3,"kinesVibro",0,105,9,114,0.9603,-2291.60379400097,-4798.06484813699
3,"kinesVibro",300,17,97,114,0.0425,-2291.60379400097,-4798.06484813699
3,"kinesVibro",500,9,105,114,0,-2291.60379400097,-4798.06484813699
3,"kinesVibro",200,36,78,114,0.3514,-2291.60379400097,-4798.06484813699
3,"kinesVibro",600,4,110,114,0,-2291.60379400097,-4798.06484813699
4,"audioKinesVibro",0,112,2,114,0.9771,-2291.60379400097,-4798.06484813699
4,"audioKinesVibro",200,34,80,114,0.4971,-2291.60379400097,-4798.06484813699
4,"audioKinesVibro",300,20,94,114,0.0419,-2291.60379400097,-4798.06484813699
4,"audioKinesVibro",100,83,31,114,0.907,-2291.60379400097,-4798.06484813699
4,"audioKinesVibro",400,9,105,114,0,-2291.60379400097,-4798.06484813699
4,"audioKinesVibro",500,8,106,114,0,-2291.60379400097,-4798.06484813699
4,"audioKinesVibro",600,5,109,114,0,-2291.60379400097,-4798.06484813699
1,"visual",100,59,55,114,0.6847,-2291.60379400097,-4798.06484813699
1,"visual",200,12,102,114,0.2365,-2291.60379400097,-4798.06484813699
1,"visual",400,4,110,114,0,-2291.60379400097,-4798.06484813699
1,"visual",500,2,112,114,0,-2291.60379400097,-4798.06484813699
1,"visual",0,108,6,114,0.813,-2291.60379400097,-4798.06484813699
1,"visual",300,6,108,114,0.0374,-2291.60379400097,-4798.06484813699
