"signals","block","offset","numOnes","numZeros","total","modelPrediction","loglik","loglikTotal"
2,"kinesthetic",400,19,197,216,4e-04,-2502.46206062951,-4796.02672423074
2,"kinesthetic",100,169,46,215,0.7851,-2502.46206062951,-4796.02672423074
2,"kinesthetic",300,48,168,216,0.0387,-2502.46206062951,-4796.02672423074
2,"kinesthetic",-84,52,164,216,0.0456,-2502.46206062951,-4796.02672423074
2,"kinesthetic",200,100,115,215,0.4231,-2502.46206062951,-4796.02672423074
2,"kinesthetic",0,208,8,216,0.9306,-2502.46206062951,-4796.02672423074
2,"kinesthetic",500,12,203,215,0,-2502.46206062951,-4796.02672423074
2,"kinesthetic",-56,80,134,214,0.4019,-2502.46206062951,-4796.02672423074
2,"kinesthetic",-14,197,19,216,0.8822,-2502.46206062951,-4796.02672423074
2,"kinesthetic",-70,64,152,216,0.1402,-2502.46206062951,-4796.02672423074
2,"kinesthetic",-28,155,60,215,0.8071,-2502.46206062951,-4796.02672423074
2,"kinesthetic",-42,103,112,215,0.6799,-2502.46206062951,-4796.02672423074
2,"kinesthetic",600,8,208,216,0,-2502.46206062951,-4796.02672423074
1,"visual",200,39,177,216,0.2964,-2502.46206062951,-4796.02672423074
1,"visual",-70,23,193,216,0.0795,-2502.46206062951,-4796.02672423074
1,"visual",400,6,210,216,0,-2502.46206062951,-4796.02672423074
1,"visual",500,8,208,216,0,-2502.46206062951,-4796.02672423074
1,"visual",100,123,93,216,0.6633,-2502.46206062951,-4796.02672423074
1,"visual",-42,66,150,216,0.4888,-2502.46206062951,-4796.02672423074
1,"visual",600,10,206,216,0,-2502.46206062951,-4796.02672423074
1,"visual",-84,12,204,216,0.021,-2502.46206062951,-4796.02672423074
1,"visual",-28,131,85,216,0.7172,-2502.46206062951,-4796.02672423074
1,"visual",0,205,11,216,0.7738,-2502.46206062951,-4796.02672423074
1,"visual",300,15,201,216,0.0275,-2502.46206062951,-4796.02672423074
1,"visual",-14,180,36,216,0.7948,-2502.46206062951,-4796.02672423074
1,"visual",-56,37,179,216,0.2757,-2502.46206062951,-4796.02672423074
3,"kinesVibro",400,7,107,114,0,-2293.56466360123,-4796.02672423074
3,"kinesVibro",100,86,28,114,0.8943,-2293.56466360123,-4796.02672423074
3,"kinesVibro",0,105,9,114,0.9679,-2293.56466360123,-4796.02672423074
3,"kinesVibro",300,17,97,114,0.0285,-2293.56466360123,-4796.02672423074
3,"kinesVibro",500,9,105,114,0,-2293.56466360123,-4796.02672423074
3,"kinesVibro",200,36,78,114,0.4664,-2293.56466360123,-4796.02672423074
3,"kinesVibro",600,4,110,114,0,-2293.56466360123,-4796.02672423074
4,"audioKinesVibro",0,112,2,114,0.9697,-2293.56466360123,-4796.02672423074
4,"audioKinesVibro",200,34,80,114,0.5293,-2293.56466360123,-4796.02672423074
4,"audioKinesVibro",300,20,94,114,0.0657,-2293.56466360123,-4796.02672423074
4,"audioKinesVibro",100,83,31,114,0.9089,-2293.56466360123,-4796.02672423074
4,"audioKinesVibro",400,9,105,114,0,-2293.56466360123,-4796.02672423074
4,"audioKinesVibro",500,8,106,114,0,-2293.56466360123,-4796.02672423074
4,"audioKinesVibro",600,5,109,114,0,-2293.56466360123,-4796.02672423074
1,"visual",100,59,55,114,0.6723,-2293.56466360123,-4796.02672423074
1,"visual",200,12,102,114,0.2522,-2293.56466360123,-4796.02672423074
1,"visual",400,4,110,114,6e-04,-2293.56466360123,-4796.02672423074
1,"visual",500,2,112,114,0,-2293.56466360123,-4796.02672423074
1,"visual",0,108,6,114,0.808,-2293.56466360123,-4796.02672423074
1,"visual",300,6,108,114,0.0319,-2293.56466360123,-4796.02672423074
1,"visual",600,3,111,114,0,-2293.56466360123,-4796.02672423074
2,"audio",0,108,6,114,0.8975,-2293.56466360123,-4796.02672423074
2,"audio",200,33,81,114,0.3103,-2293.56466360123,-4796.02672423074
2,"audio",300,9,105,114,0.0163,-2293.56466360123,-4796.02672423074
2,"audio",400,16,98,114,0,-2293.56466360123,-4796.02672423074
2,"audio",100,95,19,114,0.7817,-2293.56466360123,-4796.02672423074
