"offset","condition","vision","vibration","audio","signals","realism","cueInfo","cueInfoBasic","study","location","velocity","modelPrediction","rmse","rmseTotal"
0,12,1,0,1,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5484,2.39781151926616,2.3443418843434
100,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.4459,2.39781151926616,2.3443418843434
400,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.2718,2.39781151926616,2.3443418843434
100,16,1,1,2,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5856,2.39781151926616,2.3443418843434
0,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.5937,2.39781151926616,2.3443418843434
200,12,1,0,1,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3617,2.39781151926616,2.3443418843434
100,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4811,2.39781151926616,2.3443418843434
100,2,0,2,0,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4708,2.39781151926616,2.3443418843434
200,13,1,1,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4072,2.39781151926616,2.3443418843434
100,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.5138,2.39781151926616,2.3443418843434
200,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4102,2.39781151926616,2.3443418843434
0,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.5845,2.39781151926616,2.3443418843434
100,17,1,2,2,3,"real","real","real","3A",0,0.4886,0.5989,2.39781151926616,2.3443418843434
400,0,0,0,0,1,"unreal","unreal","unreal","3A",0,0.5,0.2332,2.39781151926616,2.3443418843434
0,11,1,2,0,2,"real","real","real","3A",0,0.4886,0.6313,2.39781151926616,2.3443418843434
300,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.3208,2.39781151926616,2.3443418843434
200,1,0,1,0,2,"unreal","unreal","unreal","3A",0,0.5,0.3788,2.39781151926616,2.3443418843434
300,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3444,2.39781151926616,2.3443418843434
100,1,0,1,0,2,"unreal","unreal","unreal","3A",0,0.5,0.4488,2.39781151926616,2.3443418843434
300,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3309,2.39781151926616,2.3443418843434
300,3,0,0,1,2,"unreal","unreal","unreal","3A",0,0.5,0.3165,2.39781151926616,2.3443418843434
300,11,1,2,0,2,"real","real","real","3A",0,0.4886,0.3907,2.39781151926616,2.3443418843434
0,17,1,2,2,3,"real","real","real","3A",0,0.4886,0.6898,2.39781151926616,2.3443418843434
100,15,1,0,2,2,"real","real","real","3A",0,0.4886,0.5314,2.39781151926616,2.3443418843434
200,17,1,2,2,3,"real","real","real","3A",0,0.4886,0.565,2.39781151926616,2.3443418843434
100,4,0,1,1,3,"unreal","unreal","unreal","3A",0,0.5,0.448,2.39781151926616,2.3443418843434
400,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3005,2.39781151926616,2.3443418843434
100,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4497,2.39781151926616,2.3443418843434
200,10,1,1,0,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3692,2.39781151926616,2.3443418843434
300,10,1,1,0,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3074,2.39781151926616,2.3443418843434
0,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.5323,2.39781151926616,2.3443418843434
400,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.2556,2.39781151926616,2.3443418843434
400,13,1,1,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.2762,2.39781151926616,2.3443418843434
300,8,0,2,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3994,2.39781151926616,2.3443418843434
300,0,0,0,0,1,"unreal","unreal","unreal","3A",0,0.5,0.2717,2.39781151926616,2.3443418843434
100,13,1,1,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4986,2.39781151926616,2.3443418843434
200,4,0,1,1,3,"unreal","unreal","unreal","3A",0,0.5,0.369,2.39781151926616,2.3443418843434
400,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.2597,2.39781151926616,2.3443418843434
100,3,0,0,1,2,"unreal","unreal","unreal","3A",0,0.5,0.3973,2.39781151926616,2.3443418843434
200,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4428,2.39781151926616,2.3443418843434
200,2,0,2,0,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4024,2.39781151926616,2.3443418843434
200,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3801,2.39781151926616,2.3443418843434
400,12,1,0,1,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.2857,2.39781151926616,2.3443418843434
