"offset","causalRatings","causalRatingsEsts","condition","study","studyType","signals","modelPrediction","modelPredictionLogit","rmse","intercept","slope"
0,9,9,"vision","Wang 1","2D",1,0.5888,0.333390054608586,0.521456515703955,6.1530381751027,6.59865199627504
50,8,8,"vision","Wang 1","2D",1,0.5695,0.259994744970738,0.521456515703955,6.1530381751027,6.59865199627504
100,6.490797546,6.5,"vision","Wang 1","2D",1,0.5012,0.00446400741297628,0.521456515703955,6.1530381751027,6.59865199627504
150,3.987730061,4,"vision","Wang 1","2D",1,0.4522,-0.178286758102457,0.521456515703955,6.1530381751027,6.59865199627504
200,2.993865031,3,"vision","Wang 1","2D",1,0.4103,-0.336832933180918,0.521456515703955,6.1530381751027,6.59865199627504
250,2.515337423,2.5,"vision","Wang 1","2D",1,0.3564,-0.547468222297694,0.521456515703955,6.1530381751027,6.59865199627504
300,2,2,"vision","Wang 1","2D",1,0.3242,-0.678903831242311,0.521456515703955,6.1530381751027,6.59865199627504
350,2,2,"vision","Wang 1","2D",1,0.3445,-0.595451530490959,0.521456515703955,6.1530381751027,6.59865199627504
400,1.484662577,1.5,"vision","Wang 1","2D",1,0.2996,-0.783212184596115,0.521456515703955,6.1530381751027,6.59865199627504
0,9,9,"sound","Wang 1","2D",2,0.6115,0.420884986687366,0.521456515703955,6.1530381751027,6.59865199627504
50,9,9,"sound","Wang 1","2D",2,0.6097,0.413893088348046,0.521456515703955,6.1530381751027,6.59865199627504
100,8,8,"sound","Wang 1","2D",2,0.5812,0.304392716047439,0.521456515703955,6.1530381751027,6.59865199627504
150,6.490797546,6.5,"sound","Wang 1","2D",2,0.5215,0.0800226756302792,0.521456515703955,6.1530381751027,6.59865199627504
200,5.496932515,5.5,"sound","Wang 1","2D",2,0.4704,-0.110223458591579,0.521456515703955,6.1530381751027,6.59865199627504
250,2.993865031,3,"sound","Wang 1","2D",2,0.4017,-0.369834553000599,0.521456515703955,6.1530381751027,6.59865199627504
300,3.987730061,4,"sound","Wang 1","2D",2,0.3808,-0.450911797113143,0.521456515703955,6.1530381751027,6.59865199627504
350,2.993865031,3,"sound","Wang 1","2D",2,0.3745,-0.475628166928179,0.521456515703955,6.1530381751027,6.59865199627504
400,2,2,"sound","Wang 1","2D",2,0.3257,-0.672662138412465,0.521456515703955,6.1530381751027,6.59865199627504
