trialNum,block,offset,response
1,2,-56,2
2,2,-28,2
3,2,-56,1
4,2,-42,1
5,2,300,2
6,2,400,2
7,2,-56,2
8,2,-70,1
9,2,0,2
10,2,400,2
11,2,-14,2
12,2,200,2
13,2,-14,2
14,2,100,2
15,2,400,2
16,2,-70,1
17,2,-14,1
18,2,-56,1
19,2,-56,1
20,2,400,2
21,2,-56,1
22,2,600,2
23,2,100,2
24,2,600,1
25,2,-84,1
26,2,300,2
27,2,100,2
28,2,-42,1
29,2,-28,1
30,2,500,1
31,2,200,2
32,2,0,2
33,2,-14,1
34,2,-56,1
35,2,0,2
36,2,-28,1
37,2,-84,1
38,2,100,2
39,2,200,2
40,2,200,2
41,2,300,1
42,2,500,1
43,2,-56,1
44,2,600,1
45,2,-84,1
46,2,-42,1
47,2,-70,1
48,2,-70,1
49,2,-56,1
50,2,-42,1
51,2,-84,1
52,2,-70,1
53,2,-84,1
54,2,0,2
55,2,100,2
56,2,100,2
57,2,300,1
58,2,-14,2
59,2,400,1
60,2,300,1
61,2,400,1
62,2,500,1
63,2,-14,2
64,2,400,1
65,2,500,1
66,2,-42,1
67,2,-14,2
68,2,400,1
69,2,-84,1
70,2,600,1
71,2,-28,2
72,2,-56,1
73,2,0,2
74,2,-42,1
75,2,100,2
76,2,100,2
77,2,-56,2
78,2,-28,1
79,2,200,1
80,2,500,1
81,2,-84,2
82,2,-70,1
83,2,200,2
84,2,-14,2
85,2,-84,1
86,2,-42,2
87,2,-70,1
88,2,0,2
89,2,0,2
90,2,200,2
91,2,-42,1
92,2,300,1
93,2,-42,1
94,2,500,1
95,2,600,1
96,2,600,1
97,2,500,1
98,2,-42,1
99,2,600,1
100,2,400,1
101,2,-70,1
102,2,0,2
103,2,300,1
104,2,-84,1
105,2,400,1
106,2,-14,2
107,2,600,1
108,2,600,1
109,2,0,2
110,2,-14,2
111,2,-84,1
112,2,100,2
113,2,200,2
114,2,-28,2
115,2,300,1
116,2,300,1
117,2,300,1
118,2,-28,2
119,2,-14,2
120,2,-42,1
121,2,500,1
122,2,-56,1
123,2,100,2
124,2,-70,1
125,2,200,2
126,2,200,1
127,2,0,2
128,2,-70,1
129,2,-28,1
130,2,600,1
131,2,0,2
132,2,300,1
133,2,200,1
134,2,500,1
135,2,-28,2
136,2,-84,1
137,2,400,1
138,2,-70,1
139,2,500,1
140,2,-42,1
141,2,100,2
142,2,200,1
143,2,0,2
144,2,-84,1
145,2,500,1
146,2,600,1
147,2,300,1
148,2,400,1
149,2,600,1
150,2,-28,2
151,2,-28,2
152,2,100,2
153,2,-28,2
154,2,-70,1
155,2,500,1
156,2,-14,2
157,1,-84,1
158,1,-42,2
159,1,300,1
160,1,-84,1
161,1,500,1
162,1,200,1
163,1,500,1
164,1,-28,1
165,1,-56,1
166,1,200,1
167,1,-70,1
168,1,-14,2
169,1,-84,1
170,1,-28,1
171,1,200,1
172,1,-56,1
173,1,-42,1
174,1,-70,1
175,1,-70,1
176,1,-14,1
177,1,500,1
178,1,300,1
179,1,400,1
180,1,100,1
181,1,200,1
182,1,100,1
183,1,400,1
184,1,0,2
185,1,600,1
186,1,-42,1
187,1,500,1
188,1,-56,1
189,1,-28,1
190,1,100,1
191,1,300,1
192,1,-14,2
193,1,600,1
194,1,200,1
195,1,600,1
196,1,-42,1
197,1,-84,1
198,1,-14,1
199,1,-42,1
200,1,-56,1
201,1,-14,2
202,1,300,1
203,1,-42,1
204,1,-28,1
205,1,300,1
206,1,-42,1
207,1,500,1
208,1,300,1
209,1,300,1
210,1,500,1
211,1,0,2
212,1,300,1
213,1,-42,1
214,1,-14,2
215,1,500,1
216,1,200,1
217,1,200,1
218,1,400,1
219,1,100,2
220,1,0,2
221,1,-84,1
222,1,-70,1
223,1,-70,1
224,1,600,1
225,1,400,1
226,1,-70,1
227,1,600,1
228,1,-56,1
229,1,-14,2
230,1,300,1
231,1,300,1
232,1,-84,1
233,1,100,2
234,1,500,1
235,1,100,2
236,1,600,1
237,1,100,2
238,1,200,1
239,1,-56,1
240,1,0,2
241,1,600,1
242,1,100,2
243,1,500,1
244,1,500,1
245,1,-84,1
246,1,-28,1
247,1,-42,1
248,1,400,1
249,1,500,1
250,1,-84,1
251,1,-56,1
252,1,200,1
253,1,-70,1
254,1,400,1
255,1,200,1
256,1,-84,1
257,1,-14,2
258,1,100,2
259,1,600,1
260,1,-28,1
261,1,-28,2
262,1,0,2
263,1,600,1
264,1,0,2
265,1,100,2
266,1,500,1
267,1,-84,1
268,1,600,1
269,1,0,2
270,1,300,1
271,1,-42,1
272,1,-42,1
273,1,600,1
274,1,-56,1
275,1,-28,1
276,1,-14,2
277,1,0,2
278,1,-28,2
279,1,-42,1
280,1,400,1
281,1,-70,1
282,1,0,2
283,1,-70,1
284,1,-28,1
285,1,400,1
286,1,0,2
287,1,600,1
288,1,-14,2
289,1,-28,2
290,1,-56,1
291,1,0,2
292,1,-84,1
293,1,-70,1
294,1,0,2
295,1,-56,1
296,1,400,1
297,1,400,1
298,1,-84,1
299,1,400,1
300,1,400,1
301,1,300,1
302,1,200,1
303,1,100,1
304,1,-70,1
305,1,-56,1
306,1,-14,2
307,1,200,2
308,1,-70,1
309,1,-14,2
310,1,-28,2
311,1,100,2
312,1,-56,1
