trialNum,visualBlock,feedbackBlock,offset,response,responseTime
1,1,8,100,2,3216.56
2,1,8,200,2,3678.02
3,1,8,100,2,3618.44
4,1,8,300,2,4044.9
5,1,8,300,1,2557.24
6,1,8,400,1,936.003
7,1,8,600,1,1956.88
8,1,8,500,1,2297.8
9,1,8,400,2,5242.67
10,1,8,500,1,1457.36
11,1,8,0,2,2034.51
12,1,8,100,1,1334.72
13,1,8,500,1,1586.04
14,1,8,0,2,1054.54
15,1,8,100,2,1234.28
16,1,8,600,1,963.33
17,1,8,300,2,1533.24
18,1,8,400,1,1021.58
19,1,8,200,2,869.084
20,1,8,100,2,2323.99
21,1,8,500,1,682.721
22,1,8,0,2,1096.19
23,1,8,100,2,1091.3
24,1,8,200,2,1150.68
25,1,8,0,2,920.269
26,1,8,600,1,771.493
27,1,8,300,2,1088.4
28,1,8,0,2,514.905
29,1,8,400,1,634.103
30,1,8,600,1,769.291
31,1,8,500,1,827.238
32,1,8,200,1,646.49
33,1,8,600,1,730.267
34,1,8,300,2,1308.26
35,1,8,500,1,752.493
36,1,8,200,1,738.475
37,1,8,200,1,825.427
38,1,8,300,2,1472.49
39,1,8,600,1,679.633
40,1,8,0,2,742.791
41,1,8,400,1,682.058
42,1,8,400,1,1599.31
43,1,7,0,2,4689.59
44,1,7,500,2,1690.4
45,1,7,100,2,601.828
46,1,7,600,1,808.483
47,1,7,300,2,579.861
48,1,7,0,1,945.227
49,1,7,300,1,697.901
50,1,7,500,1,498.156
51,1,7,400,1,445.401
52,1,7,100,1,703.083
53,1,7,400,1,892.716
54,1,7,500,1,566.069
55,1,7,200,1,481.235
56,1,7,100,2,1208.3
57,1,7,600,1,571.691
58,1,7,200,1,2516.94
59,1,7,200,2,1567.13
60,1,7,400,1,663.997
61,1,7,200,1,670.97
62,1,7,600,2,1329.1
63,1,7,0,2,594.765
64,1,7,200,2,970.087
65,1,7,100,2,774.615
66,1,7,300,1,514.626
67,1,7,400,2,1413.61
68,1,7,500,2,607.482
69,1,7,100,2,1259.95
70,1,7,600,1,599.753
71,1,7,300,1,769.656
72,1,7,0,2,1112.35
73,1,7,500,1,530.331
74,1,7,200,1,789.071
75,1,7,400,1,685.495
76,1,7,400,1,722.485
77,1,7,0,1,1490.88
78,1,7,300,2,1186.0
79,1,7,100,2,758.966
80,1,7,600,2,862.281
81,1,7,600,1,501.266
82,1,7,0,1,689.874
83,1,7,300,2,412.817
84,1,7,500,1,463.629
85,1,3,500,2,6065.94
86,1,3,500,1,907.503
87,1,3,100,2,1432.49
88,1,3,400,2,1282.63
89,1,3,600,2,2953.71
90,1,3,400,2,2692.28
91,1,3,400,1,1012.99
92,1,3,100,2,522.856
93,1,3,400,1,5514.79
94,1,3,100,1,715.671
95,1,3,600,1,665.869
96,1,3,500,1,529.409
97,1,3,200,1,769.98
98,1,3,100,2,842.217
99,1,3,300,1,579.096
100,1,3,100,2,4899.56
101,1,3,600,1,683.737
102,1,3,500,1,3664.7
103,1,3,200,2,1112.89
104,1,3,0,2,824.556
105,1,3,500,2,667.314
106,1,3,200,2,468.321
107,1,3,200,2,1191.19
108,1,3,200,2,689.309
109,1,3,0,1,1937.42
110,1,3,600,2,1164.77
111,1,3,0,2,890.436
112,1,3,500,1,784.575
113,1,3,0,2,652.894
114,1,3,0,2,730.486
115,1,3,100,2,664.474
116,1,3,400,1,433.461
117,1,3,600,2,833.437
118,1,3,0,2,920.953
119,1,3,300,2,1312.53
120,1,3,300,1,1180.27
121,1,3,300,1,549.623
122,1,3,400,2,1393.91
123,1,3,200,2,695.286
124,1,3,300,1,730.62
125,1,3,600,1,736.181
126,1,3,300,1,731.742
127,1,2,100,2,9980.24
128,1,2,100,2,1927.01
129,1,2,500,1,560.718
130,1,2,600,1,1091.34
131,1,2,300,1,841.148
132,1,2,200,1,1326.54
133,1,2,200,1,393.133
134,1,2,0,2,549.818
135,1,2,300,1,1261.49
136,1,2,100,2,2426.12
137,1,2,0,2,500.212
138,1,2,200,2,810.313
139,1,2,300,1,410.965
140,1,2,0,1,1299.46
141,1,2,500,1,744.889
142,1,2,400,1,424.923
143,1,2,500,1,391.872
144,1,2,400,1,308.463
145,1,2,300,2,974.935
146,1,2,600,2,1593.19
147,1,2,500,1,624.167
148,1,2,400,2,991.463
149,1,2,600,1,1642.24
150,1,2,0,1,1347.29
151,1,2,200,2,627.85
152,1,2,500,1,892.96
153,1,2,100,2,475.001
154,1,2,600,2,426.696
155,1,2,300,1,1340.32
156,1,2,600,2,776.385
157,1,2,100,1,1173.91
158,1,2,100,2,510.832
159,1,2,600,1,410.92
160,1,2,400,1,457.625
161,1,2,500,1,658.539
162,1,2,0,2,247.735
163,1,2,400,2,1061.07
164,1,2,200,2,2725.14
165,1,2,0,1,416.321
166,1,2,200,1,4994.65
167,1,2,400,1,233.1
168,1,2,300,1,419.388
169,1,5,100,2,2616.25
170,1,5,100,2,971.504
171,1,5,300,2,3014.58
172,1,5,500,1,728.615
173,1,5,200,2,1347.57
174,1,5,200,2,1508.07
175,1,5,300,2,1547.37
176,1,5,400,1,911.292
177,1,5,300,2,914.303
178,1,5,300,2,3133.32
179,1,5,500,2,2712.86
180,1,5,600,2,2326.03
181,1,5,100,2,1095.84
182,1,5,600,2,462.916
183,1,5,600,2,3701.88
184,1,5,300,1,2719.51
185,1,5,400,2,785.19
186,1,5,200,2,1132.29
187,1,5,400,2,599.119
188,1,5,100,2,598.099
189,1,5,0,2,628.833
190,1,5,400,2,692.557
191,1,5,400,2,733.433
192,1,5,400,2,557.573
193,1,5,600,1,398.45
194,1,5,600,2,936.074
195,1,5,200,2,538.315
196,1,5,500,2,466.032
197,1,5,100,2,477.05
198,1,5,200,2,388.154
199,1,5,0,2,369.234
200,1,5,0,2,436.803
201,1,5,200,2,310.91
202,1,5,500,1,763.454
203,1,5,600,1,1103.52
204,1,5,0,2,1164.06
205,1,5,500,1,426.964
206,1,5,0,2,722.437
207,1,5,0,2,781.676
208,1,5,300,2,327.334
209,1,5,500,1,423.011
210,1,5,100,2,327.176
211,1,6,0,2,2672.98
212,1,6,300,1,960.86
213,1,6,100,2,475.724
214,1,6,400,1,343.373
215,1,6,600,2,1458.59
216,1,6,500,1,373.302
217,1,6,500,1,441.565
218,1,6,100,2,2075.98
219,1,6,0,2,983.626
220,1,6,0,2,317.92
221,1,6,200,2,361.539
222,1,6,200,2,659.597
223,1,6,600,1,427.019
224,1,6,300,1,690.704
225,1,6,0,2,682.874
226,1,6,500,1,610.95
227,1,6,400,2,758.375
228,1,6,400,1,458.484
229,1,6,600,1,175.602
230,1,6,400,2,506.886
231,1,6,600,1,442.368
232,1,6,0,2,430.479
233,1,6,300,2,978.179
234,1,6,500,1,475.747
235,1,6,500,2,208.073
236,1,6,300,2,341.115
237,1,6,100,2,660.144
238,1,6,300,2,326.97
239,1,6,0,2,349.124
240,1,6,200,2,294.535
241,1,6,600,2,1093.3
242,1,6,100,2,424.395
243,1,6,500,2,360.29
244,1,6,600,2,208.373
245,1,6,400,2,256.891
246,1,6,100,2,375.802
247,1,6,400,2,210.354
248,1,6,200,2,1892.41
249,1,6,200,1,826.416
250,1,6,200,2,876.769
251,1,6,300,2,875.516
252,1,6,100,2,659.071
253,1,4,600,2,4132.97
254,1,4,600,2,690.702
255,1,4,0,2,381.068
256,1,4,0,2,467.832
257,1,4,100,2,860.709
258,1,4,400,2,5960.35
259,1,4,200,2,308.482
260,1,4,500,1,210.062
261,1,4,200,2,574.299
262,1,4,300,2,943.812
263,1,4,600,2,1059.02
264,1,4,100,2,774.347
265,1,4,200,1,560.065
266,1,4,100,2,593.914
267,1,4,300,1,376.752
268,1,4,400,1,359.496
269,1,4,400,1,158.43
270,1,4,200,2,608.882
271,1,4,500,1,126.421
272,1,4,500,2,258.264
273,1,4,500,1,1141.04
274,1,4,300,2,425.105
275,1,4,300,2,359.051
276,1,4,0,1,499.024
277,1,4,0,2,319.104
278,1,4,200,2,1060.62
279,1,4,200,2,410.276
280,1,4,400,1,176.421
281,1,4,0,2,499.018
282,1,4,600,1,377.541
283,1,4,500,2,424.413
284,1,4,0,2,31.1548
285,1,4,100,2,210.938
286,1,4,400,1,443.952
287,1,4,400,1,191.51
288,1,4,300,1,375.535
289,1,4,100,2,475.758
290,1,4,100,2,1244.36
291,1,4,300,1,976.804
292,1,4,600,1,1259.15
293,1,4,500,1,407.175
294,1,4,600,1,3124.45
295,1,1,300,1,2849.51
296,1,1,300,1,509.772
297,1,1,500,1,292.181
298,1,1,100,1,1974.66
299,1,1,600,1,326.859
300,1,1,0,2,514.352
301,1,1,100,1,927.248
302,1,1,300,1,261.855
303,1,1,0,2,447.526
304,1,1,400,2,294.659
305,1,1,400,2,225.584
306,1,1,200,2,141.835
307,1,1,500,2,1259.82
308,1,1,200,2,1591.4
309,1,1,400,1,376.208
310,1,1,400,1,175.885
311,1,1,100,1,841.417
312,1,1,600,1,344.058
313,1,1,400,1,790.417
314,1,1,0,1,549.017
315,1,1,600,1,260.829
316,1,1,500,1,258.984
317,1,1,100,2,1357.55
318,1,1,200,1,244.012
319,1,1,0,2,1199.55
320,1,1,600,1,344.832
321,1,1,300,1,940.228
322,1,1,200,1,1276.3
323,1,1,600,1,176.347
324,1,1,300,1,224.45
325,1,1,200,2,2575.68
326,1,1,400,1,460.234
327,1,1,500,2,1924.97
328,1,1,100,1,1707.83
329,1,1,200,2,1677.03
330,1,1,0,2,383.985
331,1,1,500,1,278.055
332,1,1,100,2,1191.13
333,1,1,0,2,367.578
334,1,1,500,1,261.207
335,1,1,600,1,358.172
336,1,1,300,1,2508.72
