trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,1,0,100,0,1,0,9,1400.2
2,3,0,0,0,0,1,8,2924.72
3,3,0,200,0,0,1,5,2941.71
4,6,0,400,0,0,2,2,4857.06
5,9,0,200,1,0,0,2,2545.61
6,8,0,300,0,2,2,5,2589.77
7,8,0,400,0,2,2,5,2606.4
8,10,0,400,1,1,0,2,3895.32
9,16,0,0,1,1,2,8,1562.93
10,8,0,0,0,2,2,9,940.7
11,6,0,200,0,0,2,9,2438.21
12,1,0,0,0,1,0,9,987.294
13,4,0,400,0,1,1,7,2988.32
14,0,0,200,0,0,0,6,6036.19
15,11,0,0,1,2,0,9,1125.83
16,1,0,300,0,1,0,5,4087.7
17,2,0,100,0,2,0,9,3120.41
18,6,0,100,0,0,2,9,3320.81
19,6,0,0,0,0,2,9,871.231
20,4,0,0,0,1,1,9,2404.88
21,3,0,400,0,0,1,6,2721.86
22,2,0,200,0,2,0,8,2151.77
23,10,0,300,1,1,0,6,4691.86
24,16,0,400,1,1,2,3,3810.2
25,5,0,100,0,2,1,8,1036.63
26,0,0,100,0,0,0,7,3387.21
27,10,0,200,1,1,0,6,3830.15
28,16,0,200,1,1,2,7,1093.63
29,17,0,200,1,2,2,5,1727.92
30,12,0,0,1,0,1,5,1894.13
31,0,0,400,0,0,0,4,4722.16
32,11,0,300,1,2,0,3,1659.24
33,14,0,100,1,2,1,7,2393.73
34,12,0,400,1,0,1,3,3628.74
35,15,0,0,1,0,2,9,878.435
36,7,0,300,0,1,2,8,6804.44
37,4,0,200,0,1,1,7,4553.44
38,7,0,400,0,1,2,8,2687.56
39,13,0,200,1,1,1,7,1343.05
40,5,0,300,0,2,1,7,1837.72
41,14,0,400,1,2,1,4,1743.29
42,1,0,400,0,1,0,5,5020.07
43,0,0,0,0,0,0,9,1236.75
44,7,0,100,0,1,2,8,1621.15
45,10,0,100,1,1,0,8,2177.27
46,12,0,200,1,0,1,5,1894.79
47,12,0,100,1,0,1,5,1860.22
48,14,0,0,1,2,1,8,711.705
49,17,0,400,1,2,2,3,1527.3
50,15,0,100,1,0,2,7,909.689
51,9,0,100,1,0,0,7,4144.17
52,13,0,300,1,1,1,3,1345.94
53,13,0,400,1,1,1,2,1109.73
54,15,0,400,1,0,2,7,3642.54
55,1,0,200,0,1,0,8,1534.29
56,10,0,0,1,1,0,8,3394.01
57,9,0,400,1,0,0,2,2095.24
58,13,0,100,1,1,1,8,3691.43
59,17,0,0,1,2,2,9,777.72
60,15,0,300,1,0,2,4,3145.27
61,3,0,100,0,0,1,8,1106.99
62,2,0,0,0,2,0,8,2504.02
63,7,0,200,0,1,2,5,2104.62
64,17,0,100,1,2,2,7,858.812
65,11,0,100,1,2,0,8,2878.45
66,17,0,300,1,2,2,4,2178.2
67,6,0,300,0,0,2,3,1253.65
68,13,0,0,1,1,1,8,1058.73
69,5,0,400,0,2,1,4,3806.53
70,7,0,0,0,1,2,7,1068.77
71,2,0,300,0,2,0,6,3388.2
72,3,0,300,0,0,1,6,2652.92
73,14,0,200,1,2,1,8,1109.48
74,5,0,0,0,2,1,8,404.313
75,4,0,300,0,1,1,6,1971.32
76,16,0,100,1,1,2,9,2277.09
77,11,0,400,1,2,0,7,2226.27
78,5,0,200,0,2,1,7,4157.15
79,9,0,0,1,0,0,9,543.218
80,9,0,300,1,0,0,6,2528.73
81,0,0,300,0,0,0,7,4269.85
82,12,0,300,1,0,1,6,5693.7
83,2,0,400,0,2,0,4,720.495
84,15,0,200,1,0,2,6,5076.64
85,11,0,200,1,2,0,8,3410.47
86,8,0,100,0,2,2,9,1440.79
87,14,0,300,1,2,1,6,1977.36
88,8,0,200,0,2,2,5,837.594
89,4,0,100,0,1,1,8,454.26
90,16,0,300,1,1,2,4,4027.62
91,13,0,200,1,1,1,7,4041.61
92,6,0,200,0,0,2,6,1188.24
93,15,0,200,1,0,2,4,743.862
94,8,0,100,0,2,2,6,2805.24
95,4,0,300,0,1,1,5,1520.15
96,16,0,200,1,1,2,4,426.996
97,2,0,100,0,2,0,9,1104.52
98,8,0,400,0,2,2,6,1104.02
99,5,0,300,0,2,1,4,1436.06
100,11,0,200,1,2,0,7,1959.98
101,11,0,100,1,2,0,9,944.467
102,5,0,200,0,2,1,8,3471.93
103,2,0,0,0,2,0,9,190.667
104,13,0,300,1,1,1,8,5080.24
105,12,0,100,1,0,1,9,1660.1
106,4,0,200,0,1,1,9,2969.82
107,16,0,300,1,1,2,6,744.193
108,3,0,200,0,0,1,8,903.97
109,8,0,0,0,2,2,9,2318.94
110,11,0,400,1,2,0,4,1910.26
111,13,0,400,1,1,1,2,762.294
112,9,0,100,1,0,0,8,1692.96
113,6,0,100,0,0,2,9,3421.29
114,3,0,300,0,0,1,7,1070.1
115,7,0,400,0,1,2,6,2236.07
116,7,0,0,0,1,2,8,2619.83
117,9,0,300,1,0,0,3,1094.7
118,0,0,300,0,0,0,3,3051.85
119,6,0,400,0,0,2,3,3304.53
120,15,0,100,1,0,2,8,658.594
121,1,0,200,0,1,0,8,504.711
122,5,0,0,0,2,1,9,370.892
123,10,0,300,1,1,0,7,894.234
124,12,0,400,1,0,1,6,943.192
125,2,0,300,0,2,0,4,1070.01
126,0,0,0,0,0,0,9,269.779
127,8,0,300,0,2,2,6,559.044
128,15,0,400,1,0,2,3,1325.91
129,3,0,0,0,0,1,9,553.086
130,10,0,200,1,1,0,7,793.803
131,17,0,100,1,2,2,9,477.015
132,3,0,100,0,0,1,9,220.954
133,12,0,0,1,0,1,9,927.342
134,0,0,100,0,0,0,9,605.422
135,9,0,200,1,0,0,6,508.972
136,2,0,200,0,2,0,7,1387.75
137,3,0,400,0,0,1,4,854.493
138,10,0,400,1,1,0,3,1075.29
139,7,0,200,0,1,2,4,1071.05
140,10,0,0,1,1,0,9,343.541
141,6,0,0,0,0,2,9,338.5
142,1,0,100,0,1,0,9,554.307
143,10,0,100,1,1,0,9,460.155
144,14,0,300,1,2,1,6,914.313
145,12,0,300,1,0,1,6,3327.44
146,5,0,100,0,2,1,9,653.622
147,13,0,0,1,1,1,8,210.832
148,17,0,0,1,2,2,9,178.161
149,0,0,400,0,0,0,4,1538.36
150,14,0,200,1,2,1,6,842.385
151,8,0,200,0,2,2,6,820.764
152,15,0,300,1,0,2,6,1612.34
153,13,0,100,1,1,1,8,543.153
154,17,0,200,1,2,2,6,577.582
155,16,0,400,1,1,2,6,2310.71
156,4,0,400,0,1,1,4,752.854
157,1,0,300,0,1,0,4,1268.88
158,0,0,200,0,0,0,4,286.795
159,5,0,400,0,2,1,3,653.669
160,17,0,400,1,2,2,4,977.998
161,4,0,100,0,1,1,8,786.492
162,12,0,200,1,0,1,7,2327.81
163,1,0,0,0,1,0,9,237.49
164,14,0,400,1,2,1,7,1760.99
165,1,0,400,0,1,0,6,1803.51
166,4,0,0,0,1,1,9,252.471
167,14,0,100,1,2,1,9,1011.04
168,17,0,300,1,2,2,6,1146.15
169,14,0,0,1,2,1,9,259.807
170,7,0,100,0,1,2,9,505.109
171,7,0,300,0,1,2,9,1170.05
