trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,17,1.0,200,1,2,2,9,256.468
2,4,1.0,300,0,1,1,2,724.755
3,4,0.0,200,0,1,1,2,290.345
4,17,0.5,200,1,2,2,8,297.147
5,4,0.5,300,0,1,1,2,424.306
6,17,0.0,0,1,2,2,9,679.649
7,4,1.0,400,0,1,1,2,408.001
8,17,0.0,400,1,2,2,8,1577.87
9,17,0.0,100,1,2,2,9,345.935
10,4,0.0,0,0,1,1,4,256.827
11,17,0.0,300,1,2,2,7,476.975
12,4,0.0,100,0,1,1,4,554.682
13,4,1.0,200,0,1,1,3,1920.84
14,4,0.5,0,0,1,1,5,165.938
15,4,1.0,100,0,1,1,5,555.2
16,4,0.0,400,0,1,1,3,437.648
17,4,1.0,0,0,1,1,4,426.198
18,17,0.5,100,1,2,2,9,211.843
19,17,0.0,200,1,2,2,9,311.715
20,4,0.5,100,0,1,1,4,187.703
21,4,0.5,400,0,1,1,3,670.188
22,4,0.5,200,0,1,1,4,286.28
23,17,0.5,300,1,2,2,8,543.801
24,17,1.0,0,1,2,2,9,250.915
25,4,0.0,300,0,1,1,3,1388.87
26,17,1.0,300,1,2,2,7,1125.58
27,17,0.5,400,1,2,2,7,664.062
28,17,1.0,100,1,2,2,9,93.9629
29,17,1.0,400,1,2,2,7,111.365
30,17,0.5,0,1,2,2,9,238.281
31,17,0.5,400,1,2,2,8,345.179
32,4,0.0,300,0,1,1,3,470.2
33,17,0.0,200,1,2,2,8,459.704
34,4,0.5,200,0,1,1,4,154.805
35,4,0.5,100,0,1,1,3,189.489
36,17,1.0,100,1,2,2,8,1560.76
37,4,0.0,200,0,1,1,2,838.289
38,4,0.5,400,0,1,1,2,470.684
39,17,0.0,300,1,2,2,8,676.139
40,17,1.0,0,1,2,2,9,217.181
41,17,0.5,200,1,2,2,8,361.649
42,4,1.0,100,0,1,1,4,138.159
43,4,0.0,0,0,1,1,3,122.096
44,17,0.0,100,1,2,2,9,161.181
45,17,1.0,400,1,2,2,7,93.2329
46,4,1.0,300,0,1,1,3,136.884
47,4,1.0,200,0,1,1,2,152.969
48,4,1.0,400,0,1,1,2,203.627
49,4,0.0,400,0,1,1,2,502.944
50,17,0.0,0,1,2,2,9,225.683
51,4,0.5,0,0,1,1,2,334.021
52,4,0.0,100,0,1,1,2,292.064
53,17,0.5,100,1,2,2,9,225.614
54,4,1.0,0,0,1,1,4,94.8217
55,17,1.0,200,1,2,2,8,193.183
56,17,0.5,0,1,2,2,9,172.591
57,17,0.0,400,1,2,2,7,494.505
58,4,0.5,300,0,1,1,3,337.165
59,17,1.0,300,1,2,2,7,158.835
60,17,0.5,300,1,2,2,7,295.325
61,17,1.0,200,1,2,2,9,355.906
62,4,1.0,100,0,1,1,6,631.802
63,4,0.0,100,0,1,1,3,654.439
64,4,0.5,0,0,1,1,5,98.3655
65,4,0.5,400,0,1,1,2,237.865
66,17,0.0,0,1,2,2,9,992.992
67,17,0.5,200,1,2,2,9,310.783
68,17,0.0,300,1,2,2,7,561.621
69,4,0.5,200,0,1,1,3,290.976
70,4,1.0,400,0,1,1,1,203.592
71,4,0.0,300,0,1,1,3,369.001
72,17,0.0,400,1,2,2,4,1276.44
73,17,0.5,400,1,2,2,7,1326.89
74,4,1.0,200,0,1,1,3,770.405
75,4,0.5,300,0,1,1,3,219.964
76,4,1.0,300,0,1,1,2,37.3151
77,17,0.0,200,1,2,2,7,258.752
78,17,1.0,300,1,2,2,7,294.442
79,4,0.0,200,0,1,1,3,570.369
80,17,0.0,100,1,2,2,9,310.155
81,17,1.0,100,1,2,2,8,261.753
82,4,1.0,0,0,1,1,4,660.532
83,4,0.0,400,0,1,1,3,455.067
84,17,0.5,100,1,2,2,9,159.905
85,4,0.5,100,0,1,1,3,191.121
86,4,0.0,0,0,1,1,4,721.761
87,17,1.0,0,1,2,2,9,217.528
88,17,1.0,400,1,2,2,7,178.276
89,17,0.5,0,1,2,2,9,88.0964
90,17,0.5,300,1,2,2,8,312.558
91,4,1.0,200,0,1,1,3,670.712
92,17,0.5,300,1,2,2,7,393.482
93,4,1.0,100,0,1,1,3,121.086
94,17,0.0,200,1,2,2,8,244.225
95,17,0.0,400,1,2,2,7,594.627
96,4,0.5,300,0,1,1,4,270.587
97,4,1.0,300,0,1,1,3,620.448
98,17,1.0,400,1,2,2,7,226.635
99,4,0.0,0,0,1,1,4,136.936
100,17,1.0,0,1,2,2,9,118.136
101,4,0.5,100,0,1,1,3,1522.22
102,4,0.0,100,0,1,1,4,556.74
103,4,1.0,0,0,1,1,4,28.3253
104,17,1.0,200,1,2,2,7,194.246
105,4,0.0,400,0,1,1,4,804.73
106,17,0.5,100,1,2,2,9,225.904
107,4,0.0,200,0,1,1,4,354.59
108,17,0.0,0,1,2,2,9,161.058
109,17,0.5,200,1,2,2,7,228.281
110,17,1.0,100,1,2,2,9,1112.33
111,17,0.0,300,1,2,2,7,1011.14
112,17,0.5,400,1,2,2,8,1026.76
113,4,0.5,200,0,1,1,2,302.661
114,4,1.0,400,0,1,1,1,171.016
115,17,1.0,300,1,2,2,7,192.331
116,17,0.0,100,1,2,2,9,526.962
117,4,0.5,0,0,1,1,3,83.4724
118,4,0.0,300,0,1,1,2,622.137
119,4,0.5,400,0,1,1,2,252.296
120,17,0.5,0,1,2,2,8,371.228
