"","block","signals","offset","response"
"1","kinesthetic",2,400,0
"2","kinesthetic",2,100,1
"3","kinesthetic",2,300,0
"4","kinesthetic",2,-84,1
"5","kinesthetic",2,200,1
"6","kinesthetic",2,0,1
"7","kinesthetic",2,300,0
"8","kinesthetic",2,500,0
"9","kinesthetic",2,-56,1
"10","kinesthetic",2,-14,1
"11","kinesthetic",2,-70,1
"12","kinesthetic",2,-84,1
"13","kinesthetic",2,-28,1
"14","kinesthetic",2,-28,1
"15","kinesthetic",2,-70,1
"16","kinesthetic",2,200,1
"17","kinesthetic",2,-14,1
"18","kinesthetic",2,-28,1
"19","kinesthetic",2,0,1
"20","kinesthetic",2,200,1
"21","kinesthetic",2,300,0
"22","kinesthetic",2,-42,1
"23","kinesthetic",2,0,1
"24","kinesthetic",2,-14,1
"25","kinesthetic",2,100,1
"26","kinesthetic",2,300,0
"27","kinesthetic",2,-42,1
"28","kinesthetic",2,600,0
"29","kinesthetic",2,400,0
"30","kinesthetic",2,200,0
"31","kinesthetic",2,-56,0
"32","kinesthetic",2,300,0
"33","kinesthetic",2,-14,1
"34","kinesthetic",2,-28,1
"35","kinesthetic",2,-42,1
"36","kinesthetic",2,0,1
"37","kinesthetic",2,-56,1
"38","kinesthetic",2,-42,1
"39","kinesthetic",2,-70,1
"40","kinesthetic",2,500,0
"41","kinesthetic",2,-56,1
"42","kinesthetic",2,-70,1
"43","kinesthetic",2,200,0
"44","kinesthetic",2,500,0
"45","kinesthetic",2,-42,1
"46","kinesthetic",2,100,1
"47","kinesthetic",2,400,0
"48","kinesthetic",2,100,1
"49","kinesthetic",2,200,1
"50","kinesthetic",2,-84,1
"51","kinesthetic",2,0,1
"52","kinesthetic",2,600,0
"53","kinesthetic",2,-28,1
"54","kinesthetic",2,600,0
"55","kinesthetic",2,-14,1
"56","kinesthetic",2,-84,1
"57","kinesthetic",2,400,0
"58","kinesthetic",2,300,1
"59","kinesthetic",2,-56,1
"60","kinesthetic",2,100,1
"61","kinesthetic",2,-56,1
"62","kinesthetic",2,100,1
"63","kinesthetic",2,500,0
"64","kinesthetic",2,100,1
"65","kinesthetic",2,-70,1
"66","kinesthetic",2,-84,1
"67","kinesthetic",2,-84,1
"68","kinesthetic",2,0,1
"69","kinesthetic",2,-42,1
"70","kinesthetic",2,400,0
"71","kinesthetic",2,500,0
"72","kinesthetic",2,600,0
"73","kinesthetic",2,500,0
"74","kinesthetic",2,-56,1
"75","kinesthetic",2,500,0
"76","kinesthetic",2,300,0
"77","kinesthetic",2,-28,1
"78","kinesthetic",2,-42,1
"79","kinesthetic",2,-56,1
"80","kinesthetic",2,400,0
"81","kinesthetic",2,-56,1
"82","kinesthetic",2,300,1
"83","kinesthetic",2,-56,1
"84","kinesthetic",2,100,1
"85","kinesthetic",2,-84,1
"86","kinesthetic",2,-70,1
"87","kinesthetic",2,600,0
"88","kinesthetic",2,-42,1
"89","kinesthetic",2,-70,1
"90","kinesthetic",2,400,1
"91","kinesthetic",2,600,0
"92","kinesthetic",2,-28,1
"93","kinesthetic",2,400,0
"94","kinesthetic",2,0,1
"95","kinesthetic",2,100,1
"96","kinesthetic",2,300,0
"97","kinesthetic",2,500,0
"98","kinesthetic",2,-70,1
"99","kinesthetic",2,-14,1
"100","kinesthetic",2,600,0
"101","kinesthetic",2,500,0
"102","kinesthetic",2,-14,1
"103","kinesthetic",2,0,1
"104","kinesthetic",2,400,0
"105","kinesthetic",2,600,0
"106","kinesthetic",2,400,0
"107","kinesthetic",2,-28,1
"108","kinesthetic",2,-14,1
"109","kinesthetic",2,200,0
"110","kinesthetic",2,-42,1
"111","kinesthetic",2,-56,1
"112","kinesthetic",2,300,0
"113","kinesthetic",2,-42,1
"114","kinesthetic",2,-84,1
"115","kinesthetic",2,200,1
"116","kinesthetic",2,-70,1
"117","kinesthetic",2,600,0
"118","kinesthetic",2,-28,1
"119","kinesthetic",2,200,1
"120","kinesthetic",2,100,1
"121","kinesthetic",2,-56,1
"122","kinesthetic",2,-70,1
"123","kinesthetic",2,200,1
"124","kinesthetic",2,-42,1
"125","kinesthetic",2,-70,1
"126","kinesthetic",2,0,1
"127","kinesthetic",2,-28,1
"128","kinesthetic",2,300,1
"129","kinesthetic",2,200,1
"130","kinesthetic",2,-14,1
"131","kinesthetic",2,-84,1
"132","kinesthetic",2,500,0
"133","kinesthetic",2,500,0
"134","kinesthetic",2,0,1
"135","kinesthetic",2,-84,1
"136","kinesthetic",2,600,0
"137","kinesthetic",2,500,0
"138","kinesthetic",2,-70,1
"139","kinesthetic",2,-84,1
"140","kinesthetic",2,400,0
"141","kinesthetic",2,-28,1
"142","kinesthetic",2,-28,1
"143","kinesthetic",2,-14,1
"144","kinesthetic",2,0,1
