delay,rating,condition
0,7.83127572,physical
50,7.008230453,physical
100,6.037037037,physical
150,5.46090535,physical
200,5.21399177,physical
250,5.082304527,physical
300,4.917695473,physical
400,4.769547325,physical
0,6.530864198,michotte
50,6.069958848,michotte
100,5.032921811,michotte
150,4.094650206,michotte
200,3.683127572,michotte
250,3.271604938,michotte
300,2.991769547,michotte
400,2.975308642,michotte
0,6.020576132,rendered
50,5.510288066,rendered
100,4.374485597,rendered
150,3.551440329,rendered
200,3.288065844,rendered
250,3.057613169,rendered
300,2.991769547,rendered
400,2.794238683,rendered
