delay,causalRatings,causalRatingsEsts,condition,study
0,9,9,withoutCollisionSound,1
50,8,8,withoutCollisionSound,1
100,6.490797546,6.5,withoutCollisionSound,1
150,3.987730061,4,withoutCollisionSound,1
200,2.993865031,3,withoutCollisionSound,1
250,2.515337423,2.5,withoutCollisionSound,1
300,2,2,withoutCollisionSound,1
350,2,2,withoutCollisionSound,1
400,1.484662577,1.5,withoutCollisionSound,1
0,9,9,withCollisionSound,1
50,9,9,withCollisionSound,1
100.2695418,8,8,withCollisionSound,1
150,6.490797546,6.5,withCollisionSound,1
200,5.496932515,5.5,withCollisionSound,1
250.1347709,2.993865031,3,withCollisionSound,1
300,3.987730061,4,withCollisionSound,1
350,2.993865031,3,withCollisionSound,1
400,2,2,withCollisionSound,1
0,9,9,withoutCollisionSound,2
50,9,9,withoutCollisionSound,2
100,5.009174312,5,withoutCollisionSound,2
150,2.990825688,3,withoutCollisionSound,2
200,2,2,withoutCollisionSound,2
250,1,1,withoutCollisionSound,2
300,1,1,withoutCollisionSound,2
350,1,1,withoutCollisionSound,2
400,1,1,withoutCollisionSound,2
0,8.987804878,9,withCollisionSound,2
50,8.987804878,9,withCollisionSound,2
100,8,8,withCollisionSound,2
150,5.987804878,6,withCollisionSound,2
200,5,5,withCollisionSound,2
250,4.012195122,4,withCollisionSound,2
300,3.024390244,3,withCollisionSound,2
350,2,2,withCollisionSound,2
400,1.012195122,1,withCollisionSound,2
0,9.030674847,9,withoutCollisionSound,3
50,9.030674847,9,withoutCollisionSound,3
100,5.496932515,5.5,withoutCollisionSound,3
150,2.993865031,3,withoutCollisionSound,3
200,2,2,withoutCollisionSound,3
250,0.969325153,1,withoutCollisionSound,3
300,0.969325153,1,withoutCollisionSound,3
350,0.969325153,1,withoutCollisionSound,3
400,1.006134969,1,withoutCollisionSound,3
0,9.030674847,9,withCollisionSound,3
50,9.030674847,9,withCollisionSound,3
100,8,8,withCollisionSound,3
150.2702703,6.012269939,6,withCollisionSound,3
200,5.018404908,5,withCollisionSound,3
250,3.509202454,3.5,withCollisionSound,3
300,2.478527607,2.5,withCollisionSound,3
350.2702703,2,2,withCollisionSound,3
400,0.969325153,1,withCollisionSound,3
