"","block","signals","offset","response"
"1","kinesVibro",3,400,0
"2","kinesVibro",3,100,1
"3","kinesVibro",3,0,1
"4","kinesVibro",3,300,0
"5","kinesVibro",3,500,0
"6","kinesVibro",3,300,0
"7","kinesVibro",3,0,1
"8","kinesVibro",3,100,0
"9","kinesVibro",3,100,0
"10","kinesVibro",3,200,0
"11","kinesVibro",3,200,0
"12","kinesVibro",3,200,0
"13","kinesVibro",3,300,0
"14","kinesVibro",3,200,0
"15","kinesVibro",3,100,0
"16","kinesVibro",3,200,1
"17","kinesVibro",3,200,0
"18","kinesVibro",3,400,0
"19","kinesVibro",3,0,1
"20","kinesVibro",3,100,0
"21","kinesVibro",3,300,0
"22","kinesVibro",3,0,1
"23","kinesVibro",3,500,0
"24","kinesVibro",3,400,0
"25","kinesVibro",3,600,0
"26","kinesVibro",3,600,0
"27","kinesVibro",3,300,0
"28","kinesVibro",3,400,0
"29","kinesVibro",3,600,0
"30","kinesVibro",3,300,0
"31","kinesVibro",3,500,0
"32","kinesVibro",3,500,0
"33","kinesVibro",3,400,0
"34","kinesVibro",3,600,0
"35","kinesVibro",3,0,1
"36","kinesVibro",3,500,0
"37","kinesVibro",3,100,1
"38","kinesVibro",3,600,0
"39","kinesVibro",3,500,0
"40","kinesVibro",3,400,0
"41","kinesVibro",3,600,0
"42","kinesVibro",3,0,1
"43","audioKinesVibro",4,0,1
"44","audioKinesVibro",4,0,1
"45","audioKinesVibro",4,200,0
"46","audioKinesVibro",4,300,0
"47","audioKinesVibro",4,100,1
"48","audioKinesVibro",4,400,0
"49","audioKinesVibro",4,100,1
"50","audioKinesVibro",4,100,0
"51","audioKinesVibro",4,200,0
"52","audioKinesVibro",4,500,0
"53","audioKinesVibro",4,600,0
"54","audioKinesVibro",4,400,0
"55","audioKinesVibro",4,200,0
"56","audioKinesVibro",4,400,0
"57","audioKinesVibro",4,200,1
"58","audioKinesVibro",4,600,0
"59","audioKinesVibro",4,0,1
"60","audioKinesVibro",4,600,0
"61","audioKinesVibro",4,300,0
"62","audioKinesVibro",4,400,0
"63","audioKinesVibro",4,600,0
"64","audioKinesVibro",4,0,1
"65","audioKinesVibro",4,500,0
"66","audioKinesVibro",4,400,0
"67","audioKinesVibro",4,600,0
"68","audioKinesVibro",4,600,0
"69","audioKinesVibro",4,500,0
"70","audioKinesVibro",4,400,0
"71","audioKinesVibro",4,200,0
"72","audioKinesVibro",4,500,0
"73","audioKinesVibro",4,100,1
"74","audioKinesVibro",4,300,0
"75","audioKinesVibro",4,500,0
"76","audioKinesVibro",4,100,1
"77","audioKinesVibro",4,100,0
"78","audioKinesVibro",4,300,0
"79","audioKinesVibro",4,0,1
"80","audioKinesVibro",4,300,0
"81","audioKinesVibro",4,200,0
"82","audioKinesVibro",4,500,0
"83","audioKinesVibro",4,300,0
"84","audioKinesVibro",4,0,1
"85","visual",1,100,0
"86","visual",1,200,0
"87","visual",1,400,0
"88","visual",1,400,0
"89","visual",1,400,0
"90","visual",1,200,0
"91","visual",1,100,1
"92","visual",1,200,0
"93","visual",1,500,0
"94","visual",1,0,1
"95","visual",1,200,0
"96","visual",1,0,1
"97","visual",1,300,0
"98","visual",1,600,0
"99","visual",1,300,0
"100","visual",1,600,0
"101","visual",1,100,1
"102","visual",1,600,0
"103","visual",1,400,0
"104","visual",1,600,0
"105","visual",1,300,0
"106","visual",1,600,0
"107","visual",1,500,0
"108","visual",1,500,0
"109","visual",1,0,1
"110","visual",1,500,0
"111","visual",1,400,0
"112","visual",1,300,0
"113","visual",1,500,0
"114","visual",1,100,1
"115","visual",1,400,0
"116","visual",1,600,0
"117","visual",1,200,0
"118","visual",1,100,1
"119","visual",1,100,1
"120","visual",1,0,1
"121","visual",1,0,1
"122","visual",1,200,0
"123","visual",1,300,0
"124","visual",1,300,0
"125","visual",1,0,1
"126","visual",1,500,0
"127","audio",2,0,1
"128","audio",2,200,0
"129","audio",2,300,0
"130","audio",2,300,0
"131","audio",2,400,0
"132","audio",2,100,1
"133","audio",2,600,0
"134","audio",2,300,0
"135","audio",2,300,0
"136","audio",2,0,1
"137","audio",2,400,0
"138","audio",2,0,1
"139","audio",2,200,1
"140","audio",2,500,0
"141","audio",2,300,0
"142","audio",2,0,1
"143","audio",2,100,1
"144","audio",2,600,0
"145","audio",2,500,0
"146","audio",2,500,0
"147","audio",2,100,1
"148","audio",2,500,0
"149","audio",2,400,1
"150","audio",2,100,1
"151","audio",2,600,0
"152","audio",2,0,1
"153","audio",2,500,0
"154","audio",2,500,0
"155","audio",2,600,0
"156","audio",2,400,0
"157","audio",2,200,1
"158","audio",2,400,0
"159","audio",2,200,0
"160","audio",2,400,0
"161","audio",2,100,1
"162","audio",2,100,1
"163","audio",2,200,1
"164","audio",2,600,0
"165","audio",2,600,0
"166","audio",2,0,1
"167","audio",2,300,0
"168","audio",2,200,0
"169","kinesthetic",2,0,1
"170","kinesthetic",2,600,0
"171","kinesthetic",2,100,1
"172","kinesthetic",2,400,0
"173","kinesthetic",2,600,0
"174","kinesthetic",2,600,0
"175","kinesthetic",2,100,1
"176","kinesthetic",2,600,0
"177","kinesthetic",2,100,1
"178","kinesthetic",2,200,0
"179","kinesthetic",2,600,0
"180","kinesthetic",2,0,1
"181","kinesthetic",2,200,0
"182","kinesthetic",2,100,1
"183","kinesthetic",2,500,0
"184","kinesthetic",2,400,0
"185","kinesthetic",2,400,0
"186","kinesthetic",2,300,0
"187","kinesthetic",2,300,0
"188","kinesthetic",2,100,1
"189","kinesthetic",2,300,1
"190","kinesthetic",2,500,0
"191","kinesthetic",2,200,1
"192","kinesthetic",2,400,0
"193","kinesthetic",2,600,0
