"","offset","condition","response","vision","vibration","audio","signals","realism","cueInfo","cueInfoBasic"
"1","0","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"2","100","9",7,"1","0","0",1,"real","real","real"
"3","400","9",1,"1","0","0",1,"real","real","real"
"4","100","16",8,"1","1","2",3,"unreal","mix_realVision","mixed"
"5","0","7",9,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"6","200","12",6,"1","0","1",2,"unreal","mix_realVision","mixed"
"7","100","7",9,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"8","100","2",6,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"9","200","13",8,"1","1","1",3,"unreal","mix_realVision","mixed"
"10","100","5",4,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"11","200","5",3,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"12","0","6",8,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"13","100","17",9,"1","2","2",3,"real","real","real"
"14","400","0",1,"0","0","0",1,"unreal","unreal","unreal"
"15","0","11",9,"1","2","0",2,"real","real","real"
"16","300","9",1,"1","0","0",1,"real","real","real"
"17","200","1",1,"0","1","0",2,"unreal","unreal","unreal"
"18","300","6",1,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"19","100","1",8,"0","1","0",2,"unreal","unreal","unreal"
"20","300","5",7,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"21","300","3",4,"0","0","1",2,"unreal","unreal","unreal"
"22","300","11",8,"1","2","0",2,"real","real","real"
"23","0","17",8,"1","2","2",3,"real","real","real"
"24","100","15",2,"1","0","2",2,"real","real","real"
"25","200","17",9,"1","2","2",3,"real","real","real"
"26","100","4",5,"0","1","1",3,"unreal","unreal","unreal"
"27","400","5",3,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"28","100","6",8,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"29","200","10",1,"1","1","0",2,"unreal","mix_realVision","mixed"
"30","300","10",6,"1","1","0",2,"unreal","mix_realVision","mixed"
"31","0","9",8,"1","0","0",1,"real","real","real"
"32","400","7",1,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"33","400","13",8,"1","1","1",3,"unreal","mix_realVision","mixed"
"34","300","8",7,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"35","300","0",1,"0","0","0",1,"unreal","unreal","unreal"
"36","100","13",9,"1","1","1",3,"unreal","mix_realVision","mixed"
"37","200","4",7,"0","1","1",3,"unreal","unreal","unreal"
"38","400","6",1,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"39","100","3",6,"0","0","1",2,"unreal","unreal","unreal"
"40","200","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"41","200","2",7,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"42","200","6",4,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"43","400","12",7,"1","0","1",2,"unreal","mix_realVision","mixed"
"44","400","3",1,"0","0","1",2,"unreal","unreal","unreal"
"45","400","10",8,"1","1","0",2,"unreal","mix_realVision","mixed"
"46","400","15",2,"1","0","2",2,"real","real","real"
"47","100","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"48","400","14",8,"1","2","1",3,"unreal","mix_realVision","mixed"
"49","300","4",7,"0","1","1",3,"unreal","unreal","unreal"
"50","0","3",9,"0","0","1",2,"unreal","unreal","unreal"
"51","400","4",4,"0","1","1",3,"unreal","unreal","unreal"
"52","300","17",7,"1","2","2",3,"real","real","real"
"53","300","12",3,"1","0","1",2,"unreal","mix_realVision","mixed"
"54","100","0",4,"0","0","0",1,"unreal","unreal","unreal"
"55","400","1",1,"0","1","0",2,"unreal","unreal","unreal"
"56","0","8",9,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"57","400","2",6,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"58","100","10",8,"1","1","0",2,"unreal","mix_realVision","mixed"
"59","400","11",9,"1","2","0",2,"real","real","real"
"60","0","0",9,"0","0","0",1,"unreal","unreal","unreal"
"61","0","5",9,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"62","300","15",3,"1","0","2",2,"real","real","real"
"63","200","0",1,"0","0","0",1,"unreal","unreal","unreal"
"64","300","1",3,"0","1","0",2,"unreal","unreal","unreal"
"65","100","11",9,"1","2","0",2,"real","real","real"
"66","300","2",7,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"67","0","2",9,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"68","200","11",9,"1","2","0",2,"real","real","real"
"69","300","14",8,"1","2","1",3,"unreal","mix_realVision","mixed"
"70","0","13",9,"1","1","1",3,"unreal","mix_realVision","mixed"
"71","300","16",2,"1","1","2",3,"unreal","mix_realVision","mixed"
"72","0","1",8,"0","1","0",2,"unreal","unreal","unreal"
"73","400","8",1,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"74","0","16",9,"1","1","2",3,"unreal","mix_realVision","mixed"
"75","0","10",8,"1","1","0",2,"unreal","mix_realVision","mixed"
"76","200","15",1,"1","0","2",2,"real","real","real"
"77","100","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"78","200","16",8,"1","1","2",3,"unreal","mix_realVision","mixed"
"79","0","15",9,"1","0","2",2,"real","real","real"
"80","200","9",1,"1","0","0",1,"real","real","real"
"81","100","8",9,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"82","200","8",7,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"83","200","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"84","400","16",3,"1","1","2",3,"unreal","mix_realVision","mixed"
"85","0","4",7,"0","1","1",3,"unreal","unreal","unreal"
"86","400","17",8,"1","2","2",3,"real","real","real"
"87","300","13",3,"1","1","1",3,"unreal","mix_realVision","mixed"
"88","200","3",3,"0","0","1",2,"unreal","unreal","unreal"
"89","300","7",4,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"90","0","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"91","200","9",4,"1","0","0",1,"real","real","real"
"92","0","3",9,"0","0","1",2,"unreal","unreal","unreal"
"93","300","17",9,"1","2","2",3,"real","real","real"
"94","0","0",9,"0","0","0",1,"unreal","unreal","unreal"
"95","400","3",1,"0","0","1",2,"unreal","unreal","unreal"
"96","0","2",9,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"97","100","4",6,"0","1","1",3,"unreal","unreal","unreal"
"98","100","6",8,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"99","200","16",7,"1","1","2",3,"unreal","mix_realVision","mixed"
"100","300","16",7,"1","1","2",3,"unreal","mix_realVision","mixed"
"101","300","13",7,"1","1","1",3,"unreal","mix_realVision","mixed"
"102","300","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"103","0","10",8,"1","1","0",2,"unreal","mix_realVision","mixed"
"104","0","9",9,"1","0","0",1,"real","real","real"
"105","0","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"106","200","8",2,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"107","300","5",1,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"108","200","15",3,"1","0","2",2,"real","real","real"
"109","0","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"110","0","4",7,"0","1","1",3,"unreal","unreal","unreal"
"111","300","9",4,"1","0","0",1,"real","real","real"
"112","400","10",2,"1","1","0",2,"unreal","mix_realVision","mixed"
"113","300","3",1,"0","0","1",2,"unreal","unreal","unreal"
"114","100","12",8,"1","0","1",2,"unreal","mix_realVision","mixed"
"115","100","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"116","200","1",2,"0","1","0",2,"unreal","unreal","unreal"
"117","200","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"118","0","15",9,"1","0","2",2,"real","real","real"
"119","400","7",3,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"120","0","11",9,"1","2","0",2,"real","real","real"
"121","400","11",7,"1","2","0",2,"real","real","real"
"122","200","4",2,"0","1","1",3,"unreal","unreal","unreal"
