"","offset","location","condition","realism","response"
"1",100,1,4,"unreal",8
"2",300,0.5,4,"unreal",6
"3",100,0.5,4,"unreal",7
"4",200,1,4,"unreal",6
"5",0,0,4,"unreal",9
"6",300,0.5,17,"real",6
"7",0,0.5,4,"unreal",9
"8",400,0.5,4,"unreal",4
"9",200,0.5,4,"unreal",7
"10",400,0,17,"real",7
"11",200,0,17,"real",6
"12",300,0,4,"unreal",6
"13",100,0,4,"unreal",9
"14",0,0.5,17,"real",9
"15",200,0.5,17,"real",7
"16",100,0,17,"real",9
"17",100,0.5,17,"real",7
"18",400,1,17,"real",4
"19",0,1,17,"real",9
"20",300,1,17,"real",6
"21",400,0,4,"unreal",4
"22",300,0,17,"real",7
"23",400,0.5,17,"real",5
"24",300,1,4,"unreal",3
"25",0,0,17,"real",9
"26",400,1,4,"unreal",5
"27",200,1,17,"real",6
"28",100,1,17,"real",7
"29",200,0,4,"unreal",6
"30",0,1,4,"unreal",9
"31",200,0.5,4,"unreal",6
"32",300,0.5,17,"real",5
"33",300,0,17,"real",5
"34",200,1,4,"unreal",4
"35",400,0,17,"real",3
"36",200,0,17,"real",5
"37",400,0,4,"unreal",6
"38",0,1,17,"real",9
"39",200,1,17,"real",6
"40",100,0.5,4,"unreal",9
"41",200,0.5,17,"real",7
"42",400,0.5,17,"real",5
"43",0,0.5,4,"unreal",9
"44",0,0,17,"real",9
"45",300,1,4,"unreal",7
"46",300,1,17,"real",6
"47",400,1,17,"real",3
"48",100,1,4,"unreal",8
"49",100,0.5,17,"real",9
"50",200,0,4,"unreal",8
"51",100,0,4,"unreal",9
"52",400,0.5,4,"unreal",5
"53",0,0,4,"unreal",9
"54",400,1,4,"unreal",3
"55",100,1,17,"real",7
"56",0,0.5,17,"real",9
"57",100,0,17,"real",9
"58",300,0.5,4,"unreal",3
"59",0,1,4,"unreal",9
"60",300,0,4,"unreal",7
"61",0,1,4,"unreal",9
"62",200,1,4,"unreal",6
"63",300,0.5,4,"unreal",5
"64",200,0,4,"unreal",6
"65",400,0.5,17,"real",5
"66",200,1,17,"real",5
"67",200,0,17,"real",6
"68",0,0.5,4,"unreal",9
"69",300,0,4,"unreal",8
"70",100,0.5,17,"real",9
"71",100,0,4,"unreal",9
"72",400,1,4,"unreal",5
"73",0,0.5,17,"real",9
"74",300,1,4,"unreal",4
"75",0,0,4,"unreal",9
"76",300,0,17,"real",7
"77",400,0,17,"real",5
"78",0,1,17,"real",9
"79",400,0,4,"unreal",6
"80",400,0.5,4,"unreal",4
"81",100,1,4,"unreal",8
"82",200,0.5,17,"real",6
"83",300,0.5,17,"real",7
"84",100,1,17,"real",8
"85",100,0.5,4,"unreal",9
"86",300,1,17,"real",6
"87",200,0.5,4,"unreal",7
"88",0,0,17,"real",9
"89",400,1,17,"real",6
"90",100,0,17,"real",9
"91",400,0,17,"real",6
"92",0,0.5,17,"real",7
"93",200,0.5,17,"real",6
"94",300,1,17,"real",4
"95",400,0,4,"unreal",3
"96",400,1,4,"unreal",1
"97",300,0.5,17,"real",3
"98",100,0.5,4,"unreal",8
"99",100,1,4,"unreal",9
"100",200,0,17,"real",7
"101",0,0,4,"unreal",9
"102",200,0,4,"unreal",7
"103",400,0.5,4,"unreal",7
"104",200,1,17,"real",6
"105",0,0,17,"real",9
"106",100,0,17,"real",8
"107",400,0.5,17,"real",6
"108",300,0.5,4,"unreal",4
"109",0,1,4,"unreal",9
"110",400,1,17,"real",6
"111",300,0,17,"real",4
"112",200,0.5,4,"unreal",6
"113",0,1,17,"real",9
"114",200,1,4,"unreal",6
"115",100,0,4,"unreal",8
"116",100,1,17,"real",9
"117",0,0.5,4,"unreal",9
"118",100,0.5,17,"real",8
"119",300,1,4,"unreal",5
"120",300,0,4,"unreal",5
"121",300,0.5,17,"real",8
"122",300,0,17,"real",7
"123",300,0,4,"unreal",7
"124",200,0,4,"unreal",7
"125",300,1,17,"real",8
"126",400,0.5,4,"unreal",8
"127",200,1,17,"real",7
"128",400,0.5,17,"real",7
"129",200,1,4,"unreal",7
"130",100,1,4,"unreal",8
"131",0,0.5,4,"unreal",9
"132",200,0.5,4,"unreal",8
"133",100,0,17,"real",8
"134",200,0,17,"real",7
"135",0,0,4,"unreal",8
"136",0,0,17,"real",9
"137",0,1,4,"unreal",9
"138",400,0,4,"unreal",7
"139",300,1,4,"unreal",7
"140",400,1,4,"unreal",6
"141",100,0.5,4,"unreal",7
"142",200,0.5,17,"real",8
"143",100,0.5,17,"real",8
"144",100,0,4,"unreal",7
"145",100,1,17,"real",8
"146",300,0.5,4,"unreal",7
"147",0,1,17,"real",9
"148",400,0,17,"real",7
"149",400,1,17,"real",6
"150",0,0.5,17,"real",9
"151",400,1,4,"unreal",6
"152",400,0,4,"unreal",7
"153",300,0.5,17,"real",7
"154",200,0,4,"unreal",7
"155",100,1,17,"real",9
"156",100,0.5,17,"real",8
"157",300,0.5,4,"unreal",7
"158",0,1,4,"unreal",8
"159",400,0.5,17,"real",8
"160",400,1,17,"real",7
"161",300,1,4,"unreal",7
"162",100,0,4,"unreal",7
"163",300,0,4,"unreal",7
"164",100,0.5,4,"unreal",8
"165",200,0.5,4,"unreal",8
"166",200,1,4,"unreal",7
"167",300,1,17,"real",8
"168",200,1,17,"real",8
"169",0,0,4,"unreal",9
"170",0,0.5,4,"unreal",9
"171",300,0,17,"real",8
"172",200,0.5,17,"real",8
"173",0,1,17,"real",9
"174",100,0,17,"real",9
"175",200,0,17,"real",8
"176",0,0.5,17,"real",9
"177",400,0.5,4,"unreal",7
"178",100,1,4,"unreal",7
"179",0,0,17,"real",9
"180",400,0,17,"real",8
"181",0,0.5,17,"real",9
"182",0,1,4,"unreal",8
"183",400,1,17,"real",7
"184",400,0,17,"real",8
"185",100,1,4,"unreal",7
"186",100,0.5,17,"real",8
"187",400,1,4,"unreal",7
"188",0,0.5,4,"unreal",9
"189",200,1,17,"real",7
"190",200,0.5,17,"real",9
"191",100,0,4,"unreal",7
"192",300,1,17,"real",7
"193",100,0.5,4,"unreal",8
"194",300,0,4,"unreal",7
"195",100,0,17,"real",8
"196",300,0.5,4,"unreal",7
"197",0,0,17,"real",9
"198",400,0,4,"unreal",7
"199",100,1,17,"real",8
"200",0,1,17,"real",9
"201",300,1,4,"unreal",6
"202",200,0.5,4,"unreal",6
"203",200,1,4,"unreal",6
"204",400,0.5,4,"unreal",6
"205",200,0,4,"unreal",6
"206",400,0.5,17,"real",7
"207",300,0.5,17,"real",8
"208",200,0,17,"real",7
"209",0,0,4,"unreal",8
"210",300,0,17,"real",7
"211",200,0,4,"unreal",7
"212",200,1,4,"unreal",6
"213",200,0.5,4,"unreal",6
"214",100,1,17,"real",8
"215",0,1,17,"real",9
"216",300,1,4,"unreal",6
"217",300,1,17,"real",7
"218",400,0.5,17,"real",7
"219",0,0,4,"unreal",9
"220",100,1,4,"unreal",8
"221",100,0.5,4,"unreal",8
"222",400,0,17,"real",7
"223",0,1,4,"unreal",9
"224",100,0,4,"unreal",8
"225",0,0.5,17,"real",9
"226",200,0.5,17,"real",7
